AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
81.400002,132.529999,84.150002,23.450001,121.08000200000001,62.089999,68.339996,27.01,163.83999599999999,75.370003,182.880005,24.17,94.290001,54.099998,39.869999,97.089996,127.949997,47.0,37.59,77.160004,31.24,82.260002,35.029999,87.970001,70.5,108.08000200000001,199.270004,49.959998999999996,79.010002,92.959999,15783.099609
81.029999,132.330002,83.849998,23.73,120.0,62.049999,67.769997,27.049999,162.889999,76.18,183.070007,24.43,93.559998,53.970001,39.880001,97.660004,128.360001,47.59,37.360001000000004,76.870003,31.379998999999998,82.800003,35.169998,86.440002,69.949997,107.449997,198.270004,50.16,78.709999,92.66999799999999,15750.669922
81.440002,133.169998,84.199997,24.0,120.089996,60.939999,68.970001,27.15,162.940002,77.599998,183.550003,24.6,93.339996,54.139998999999996,40.119999,98.110001,128.58999599999999,47.34,38.16,77.849998,31.870001000000002,83.5,35.07,87.220001,71.010002,107.459999,199.779999,49.990002000000004,78.900002,92.589996,15821.629883000001
81.889999,135.08999599999999,83.760002,21.370001000000002,119.559998,61.789999,70.019997,26.99,163.199997,78.940002,182.21000700000002,24.389999,93.91999799999999,54.400002,40.209998999999996,97.559998,129.78999299999998,47.82,38.02,78.639999,32.0,84.32,35.16,88.25,71.440002,108.690002,200.149994,50.27,79.08000200000001,93.220001,15876.219727000002
82.800003,136.080002,83.739998,21.540001,120.059998,62.109999,70.0,27.200001,164.399994,80.029999,183.190002,24.52,94.389999,54.869999,40.220001,96.91999799999999,129.850006,48.07,37.84,79.220001,32.200001,84.839996,35.43,88.66999799999999,71.870003,108.589996,202.0,50.310001,79.220001,95.269997,15961.700195
82.339996,138.360001,84.040001,21.290001,120.559998,61.699996,69.5,27.219998999999998,165.679993,79.66999799999999,184.470001,24.6,94.300003,55.740002000000004,40.169998,97.650002,130.130005,48.009997999999996,37.200001,78.58000200000001,32.009997999999996,84.57,35.599998,88.18,71.68,109.129997,199.899994,50.759997999999996,79.220001,95.449997,15976.019531
82.459999,136.979996,83.66999799999999,21.42,122.059998,61.489998,69.120003,27.030001000000002,166.600006,80.379997,185.25,24.700001,94.860001,56.150002,40.139998999999996,97.980003,130.050003,48.07,36.740002000000004,77.809998,31.66,84.339996,35.720001,88.089996,71.610001,109.099998,197.389999,50.779999,79.25,95.41999799999999,15967.030272999998
82.25,132.449997,82.68,21.23,122.0,60.789997,69.230003,26.959999,165.0,79.75,185.190002,24.559998999999998,95.150002,56.099998,40.060001,97.540001,129.179993,48.130001,37.080002,77.839996,31.92,84.690002,35.400002,87.93,71.980003,108.83000200000001,198.119995,50.400002,78.900002,94.68,15900.820312
83.949997,132.929993,82.120003,21.469998999999998,123.459999,61.6,69.940002,26.91,167.070007,79.83000200000001,184.130005,25.23,95.199997,57.220001,40.43,97.699997,130.350006,48.619999,37.400002,78.089996,31.969998999999998,84.66999799999999,35.299999,89.220001,72.910004,109.769997,201.610001,50.380001,78.860001,94.690002,16009.990234
83.849998,135.970001,82.879997,21.459999,124.029999,61.699996,70.199997,27.08,168.100006,79.18,181.300003,23.870001000000002,95.25,57.459998999999996,40.43,98.269997,131.020004,48.939999,37.57,78.870003,32.119999,84.949997,35.419998,90.519997,73.739998,110.199997,202.119995,50.220001,79.809998,95.010002,16064.769531
