AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MDLZ,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM,^DJI
10.019989,23.23,46.900002,11.94,32.360001000000004,18.41,65.760002,24.099999,22.66,11.52,23.25,37.739996000000005,104.519997,15.68,55.490002000000004,32.869999,47.990002000000004,57.200001,25.25,57.470001,25.18,23.280001000000002,14.79,50.560001,24.15,41.060001,52.580002,30.019882,48.59,68.839996,8339.009766
9.999989,23.389999,43.869999,12.23,33.0,18.57,65.959999,24.4,22.879998999999998,11.6,22.879998999999998,37.359999,104.440002,15.81,55.009997999999996,33.57,47.799999,56.759997999999996,25.629998999999998,57.060001,25.110001,23.34,14.73,50.549999,24.66,41.0,51.84,30.51988,48.349998,68.949997,8322.910156
10.209988000000001,22.93,41.32,12.35,33.400002,18.610001,65.720001,24.829998,22.9,11.7,22.68,37.219997,104.150002,16.1,55.459998999999996,33.459998999999996,47.5,56.299999,25.74,57.48,25.450001,23.469998999999998,14.72,50.549999,24.65,40.759997999999996,50.810001,30.799878999999997,48.509997999999996,68.449997,8299.860352
10.719988,24.440001000000002,42.529999,12.35,34.490002000000004,19.030001000000002,66.870003,25.289998999999998,23.549999,11.86,23.57,38.119997999999995,106.059998,16.309998999999998,56.27,34.139998999999996,47.849998,57.459998999999996,25.969998999999998,58.900002,26.57,23.790001,15.33,51.68,24.85,40.91,52.029999,31.089878000000002,49.150002,69.879997,8472.400391
10.759986999999999,23.76,41.880001,12.75,34.560001,18.91,65.949997,25.379998999999998,23.43,11.75,23.610001,37.609999,105.68,16.290001,56.599998,34.450001,48.130001,57.0,25.559998999999998,59.259997999999996,27.0,23.35,15.19,51.75,24.82,40.880001,51.549999,30.989877000000003,48.630001,69.050003,8438.389648
10.439988,24.0,42.650002,13.19,34.740002000000004,18.99,66.879997,26.01,23.66,11.76,23.870001000000002,38.979999,105.83000200000001,16.379998999999998,56.959998999999996,34.599998,48.290001000000004,57.23,25.58,59.959998999999996,27.85,23.860001,15.26,52.23,25.219998999999998,41.009997999999996,52.470001,31.359876,48.759997999999996,70.58000200000001,8529.379883
10.329988,23.24,42.5,13.2,33.040001000000004,18.65,66.25,25.619999,23.33,11.72,23.629998999999998,38.649998,104.41999799999999,16.549999,56.799999,34.110001000000004,47.990002000000004,57.490002000000004,25.34,60.099998,27.959999,23.77,15.0,51.099998,24.84,41.040001000000004,51.959998999999996,30.729878999999997,48.439999,69.910004,8447.0
10.349988,23.0,42.23,13.05,33.189999,18.799999,66.519997,25.8,23.450001,11.78,23.709999,38.679998,104.839996,17.040001,57.07,33.77,49.18,58.220001,26.610001,60.740002000000004,28.049999,24.040001,14.9,52.0,25.07,41.130001,52.279999,30.819878000000003,48.369999,70.559998,8504.05957
9.859989,22.27,40.830002,12.64,31.74,18.5,64.41999799999999,24.78,22.84,11.46,22.809998999999998,37.849998,101.730003,16.719998999999998,55.98,32.27,48.880001,57.450001,25.959999,60.25,27.01,23.370001000000002,14.48,51.110001000000004,24.59,39.200001,50.240002000000004,30.179880999999998,47.790001000000004,68.489998,8280.740234
9.259989,23.52,40.560001,12.15,31.700001,18.530001000000002,64.139999,25.329999,23.09,11.48,22.879998999999998,37.729996,101.650002,16.540001,56.619999,32.599998,49.0,57.990002000000004,26.440001000000002,60.669998,27.889999,23.200001,14.57,52.169998,24.799999,39.939999,50.900002,30.35988,47.73,68.099998,8324.870117
9.409989,22.629998999999998,39.040001000000004,12.15,30.290001,18.24,62.700001,24.039998999999998,22.530001000000002,11.01,22.4,36.839999,100.190002,16.25,56.23,32.810001,48.639998999999996,56.799999,25.75,58.759997999999996,27.620001000000002,22.530001000000002,14.59,51.91,24.33,39.040001000000004,49.43,29.639883,47.84,66.559998,8163.600098000001
9.459989,22.719998999999998,39.549999,11.84,30.58,18.129998999999998,62.779999,24.18,22.24,10.71,22.66,37.209996999999994,100.68,15.94,57.080002,32.709998999999996,48.509997999999996,57.040001000000004,25.700001,59.02,28.040001,22.559998999999998,14.61,52.639998999999996,23.540001,39.07,49.68,28.649887,48.369999,66.260002,8178.410156
