AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
128.639999,77.160004,146.149994,87.5,29.049999,111.730003,74.179997,109.809998,27.09,198.559998,108.709999,174.399994,32.889998999999996,100.389999,63.599998,40.490002000000004,97.019997,156.970001,59.68,49.060001,100.16999799999999,34.290001000000004,79.849998,102.849998,113.610001,115.379997,67.339996,50.470001,77.879997,87.870003,18035.529297
125.150002,77.449997,143.33999599999999,86.879997,28.83,111.059998,73.199999,108.720001,27.08,196.419998,106.980003,171.28999299999998,32.549999,99.199997,63.259997999999996,40.560001,96.550003,156.389999,59.560001,48.639998999999996,98.839996,33.93,79.510002,101.110001,111.400002,113.75,66.050003,50.439999,78.050003,87.370003,17840.519531
128.949997,77.68,144.669998,87.370003,29.129998999999998,109.040001,74.040001,110.519997,27.309998999999998,197.529999,109.550003,173.669998,33.419998,100.129997,63.610001000000004,40.91,97.800003,157.679993,59.860001000000004,48.66,100.779999,34.080002,80.290001,102.120003,113.199997,115.440002,65.769997,50.41,78.599998,88.849998,18024.060547
128.699997,78.279999,144.020004,87.300003,29.17,108.32,74.029999,111.029999,27.27,199.300003,110.059998,173.970001,33.43,100.349998,64.720001,40.959998999999996,96.129997,159.020004,60.639998999999996,48.240002000000004,100.83000200000001,34.32,80.349998,102.16999799999999,114.559998,116.449997,65.58000200000001,50.52,79.18,89.110001,18070.400391
125.800003,77.839996,142.91000400000001,87.0,28.889999,108.0,72.789997,110.809998,26.92,197.28999299999998,108.059998,173.080002,32.639998999999996,99.5,64.400002,40.75,96.129997,157.91000400000001,60.490002000000004,47.599998,100.41999799999999,34.119999,80.07,102.050003,113.370003,115.07,65.959999,50.09,78.129997,88.610001,17928.199219
125.010002,77.849998,141.03999299999998,86.989998,28.969998999999998,107.949997,72.719999,109.720001,26.809998999999998,196.25,108.309998,170.050003,32.220001,99.16999799999999,63.919998,40.66,96.389999,157.639999,60.259997999999996,46.279999,100.220001,33.459998999999996,80.400002,101.769997,113.489998,115.08000200000001,65.66999799999999,49.639998999999996,77.650002,88.190002,17841.980469
125.260002,78.43,141.490005,86.43,28.809998999999998,107.57,73.33000200000001,109.260002,27.040001,197.389999,110.040001,170.990005,32.240002000000004,99.660004,64.5,40.700001,96.779999,158.610001,60.299999,46.700001,101.449997,33.580002,80.199997,102.58000200000001,114.760002,116.040001,66.58000200000001,49.73,78.029999,87.599998,17924.060547
127.620003,78.980003,145.46000700000002,87.309998,29.23,108.650002,75.27999399999999,110.110001,27.360001,200.5,112.470001,172.679993,32.799999,101.470001,65.489998,40.98,98.230003,160.600006,60.740002000000004,47.75,102.440002,34.02,80.959999,103.730003,115.68,118.43,69.470001,50.139998999999996,78.529999,88.989998,18191.109375
126.32,79.699997,145.889999,88.769997,29.209999,107.360001,75.39999399999999,108.599998,26.92,201.729996,111.900002,171.119995,32.689999,101.029999,65.449997,40.939999,97.510002,159.899994,60.0,47.369999,102.790001,33.959998999999996,80.269997,102.220001,114.769997,117.699997,69.019997,49.799999,78.099998,86.779999,18105.169922
125.870003,79.08000200000001,145.429993,88.160004,29.23,107.559998,74.84999599999999,109.239998,27.030001000000002,200.529999,112.519997,170.550003,32.25,100.470001,65.360001,40.689999,97.949997,160.070007,59.439999,47.349998,102.370003,33.779999,79.949997,101.66999799999999,114.639999,117.360001,68.690002,49.619999,78.959999,87.019997,18068.230469
126.010002,79.860001,145.619995,88.440002,29.35,107.699997,69.329996,109.190002,27.209999,201.429993,111.190002,172.279999,32.639998999999996,100.550003,65.519997,41.049999,97.349998,161.309998,59.18,47.630001,102.160004,33.529999,79.699997,101.970001,115.860001,117.370003,68.650002,49.73,78.160004,86.559998,18060.490234
128.949997,80.75,147.96000700000002,88.739998,29.049999,108.449997,69.670001,109.93,27.41,202.619995,111.940002,174.050003,32.970001,101.83000200000001,66.050003,41.5,97.709999,163.149994,59.779999,48.720001,103.440002,33.939999,80.57,102.75,118.529999,119.139999,70.0,49.970001,78.720001,86.970001,18252.240234
128.770004,80.220001,146.880005,88.43,29.549999,108.029999,70.249998,110.300003,27.27,202.970001,113.349998,173.259995,32.990002000000004,102.300003,65.879997,41.52,98.040001,163.300003,60.23,48.299999,104.980003,33.990002000000004,81.050003,102.68,119.33000200000001,118.489998,69.57,49.790001000000004,79.239998,87.349998,18272.560547
130.190002,80.16999799999999,146.71000700000002,88.290001,29.76,106.650002,69.990001,110.33000200000001,27.309998999999998,204.66000400000001,114.33000200000001,173.059998,33.41,103.41999799999999,66.41999799999999,41.32,98.019997,162.869995,60.009997999999996,48.009997999999996,104.75,33.98,80.739998,103.16999799999999,119.800003,118.510002,70.0,49.599998,79.91999799999999,86.849998,18298.880859
130.070007,81.360001,147.050003,87.239998,29.74,105.019997,71.249999,110.559998,27.35,205.399994,112.339996,173.479996,33.150002,103.959999,67.010002,41.310001,100.68,163.119995,60.52,47.580002,104.639999,34.209998999999996,80.83000200000001,103.660004,120.550003,119.07,70.160004,49.549999,76.43,86.989998,18312.390625
130.059998,80.959999,146.419998,87.93,29.620001000000002,105.25,70.66,110.199997,27.639999,205.080002,112.099998,173.759995,33.369999,103.599998,66.480003,41.349998,100.110001,161.899994,60.459998999999996,47.580002,104.610001,34.299999,80.480003,103.699997,121.239998,118.870003,69.779999,49.689999,75.900002,87.129997,18285.400391
131.389999,80.760002,147.350006,89.33000200000001,29.43,105.489998,70.980001,110.389999,27.719998999999998,204.949997,112.010002,173.33999599999999,33.549999,102.41999799999999,66.650002,41.23,99.279999,162.059998,60.099998,47.419998,104.400002,34.360001000000004,80.410004,103.089996,120.459999,119.120003,69.370003,49.900002,76.110001,87.209999,18285.740234
132.53999299999998,81.25,144.809998,88.629997,29.26,104.889999,70.789994,110.260002,27.68,207.800003,112.160004,172.220001,33.450001,101.349998,66.470001,41.209998999999996,98.989998,160.979996,59.380001,46.900002,104.43,34.279999,79.949997,102.730003,119.589996,118.620003,69.620003,49.610001000000004,75.860001,86.519997,18232.019531
129.619995,80.190002,142.800003,87.839996,28.950001,103.290001,70.749994,109.440002,27.52,206.380005,110.93,170.130005,33.099998,100.82,65.730003,40.990002000000004,98.459999,159.58999599999999,58.970001,46.59,103.41999799999999,34.110001000000004,79.139999,101.599998,118.239998,116.870003,68.540001,49.419998,74.900002,85.349998,18041.539062
132.03999299999998,80.110001,143.0,87.91999799999999,29.309998999999998,103.110001,70.78,110.370003,27.52,209.059998,112.160004,172.0,33.709998999999996,101.129997,66.470001,41.119999,98.660004,161.020004,59.459998999999996,47.610001000000004,102.839996,34.299999,79.389999,102.339996,119.449997,117.639999,69.489998,49.57,75.190002,85.110001,18162.990234
131.779999,80.089996,142.330002,86.010002,29.35,103.239998,71.43999699999999,110.529999,27.629998999999998,208.479996,112.190002,171.71000700000002,34.009997999999996,101.150002,66.199997,41.139998999999996,96.480003,160.869995,59.700001,47.450001,102.300003,34.439999,79.33000200000001,102.150002,119.620003,117.690002,69.559998,49.540001000000004,74.839996,85.110001,18126.119141
130.279999,79.720001,140.520004,85.32,29.309998999999998,103.0,71.009999,110.370003,27.27,206.190002,111.41999799999999,169.649994,34.459998999999996,100.139999,65.779999,40.959998999999996,95.93,159.080002,60.889998999999996,46.860001000000004,101.66999799999999,34.75,78.389999,101.120003,120.209999,117.16999799999999,68.68,49.439999,74.269997,85.199997,18010.679688
130.53999299999998,79.470001,141.25,85.529999,29.18,102.629997,71.639997,110.959999,27.280001000000002,207.809998,111.66999799999999,170.179993,33.91,100.040001,66.08000200000001,40.939999,96.220001,158.979996,60.75,47.23,101.760002,34.560001,78.849998,101.010002,119.860001,117.0,69.110001,49.220001,74.730003,85.129997,18040.369141
129.96000700000002,79.989998,143.25,86.16999799999999,29.08,102.58000200000001,71.269995,110.75,27.33,206.429993,111.589996,169.649994,33.27,99.980003,66.019997,40.990002000000004,96.290001,159.080002,60.240002000000004,46.919998,102.110001,34.490002000000004,78.540001,100.33000200000001,117.75,117.339996,69.040001,49.139998999999996,74.529999,85.139999,18011.939453
